Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Ingredient_14,Measurement_14,Ingredient_15,Measurement_15,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Bahama Mama,Rum,N/A,Highball glass,N/A,Rum,3 parts,Dark Rum,1 part,Banana liqueur,1 part,Grenadine,1 part,Pineapple Juice,2 parts,Orange Juice,2 parts,Sweet and Sour,1 part,,,,,,,,,,,,,,,,,1: Add 2 parts club soda or more or less to taste.,2: Mix it all together and pour over a bunch of ice.,3: Drink with a straw.,,,,,,,,,,,,,,,,,,,,
Casino,Gin,N/A,Cocktail glass,N/A,Gin,2 oz ,Maraschino liqueur,1/4 tsp ,Lemon juice,1/4 tsp ,Orange bitters,2 dashes ,Cherry,1 ,,,,,,,,,,,,,,,,,,,,,1: Pour all ingredients into shaker with ice cubes.,2: Shake well.,3: Strain into chilled cocktail glass.,4: Garnish with a lemon twist and a maraschino cherry.,5: Serve without a straw.,,,,,,,,,,,,,,,,,,
Cafe Savoy,Brandy,N/A,Coffee mug,N/A,Coffee,,Milk,1/2 oz ,Triple sec,1/2 oz ,Brandy,,,,,,,,,,,,,,,,,,,,,,,,1: Fill mug almost to top with coffee.,"2: Add milk, triple sec and brandy.",3: Stir.,,,,,,,,,,,,,,,,,,,,
Caipirinha,Other,N/A,Old-fashioned glass,N/A,Sugar,2 tsp,Lime,1 ,Cachaca,2 1/2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,1: Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon).,2: Fill the glass with ice and add the Cachaça.,,,,,,,,,,,,,,,,,,,,,
Cream Soda,Rum,N/A,Highball glass,N/A,Spiced rum,1 oz ,Ginger ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour 1oz of Spiced Rum into a highball glass with ice.,2: Fill with Ginger Ale.,,,,,,,,,,,,,,,,,,,,,
Cuba Libra,Rum,N/A,Highball glass,N/A,Dark rum,1-2 shot ,Lime,Squeeze ,Coca-Cola,Fill with ,Ice,,,,,,,,,,,,,,,,,,,,,,,,1: Fill tall glass with ice cubes.,2: Add rum.,3: Rub cut edge of lime on rim of glass then squeeze juice into glass.,4: Fill with Coca-Cola.,5: Garnish with lime slice.,,,,,,,,,,,,,,,,,,
Cherry Rum,Rum,N/A,Cocktail glass,N/A,Light rum,1 1/4 oz ,Cherry brandy,1 1/2 tsp ,Light cream,1 tblsp ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Cuba Libre,Rum,N/A,Highball glass,N/A,Light rum,2 oz ,Lime,Juice of 1/2 ,Coca-Cola,,,,,,,,,,,,,,,,,,,,,,,,,,1: Build all ingredients in a Collins glass filled with ice.,2: Garnish with lime wedge.,,,,,,,,,,,,,,,,,,,,,
Corn n Oil,Rum,N/A,Old-fashioned glass,N/A,Lime,1/2,Falernum,1/3 oz,Angostura Bitters,2 dashes,Añejo rum,1 oz,blackstrap rum,1 oz,,,,,,,,,,,,,,,,,,,,,1: Cut the half lime in half again.,"2: Add the lime, falernum, and bitters to a rocks glass.",3: Muddle.,4: Add the rum.,5: (Aged Barbados rum such as Plantation 5 Year is recommended).,6: Add ice and stir.,7: Float the blackstrap rum on top.,8: Serve with a straw.,,,,,,,,,,,,,,,
Citrus Coke,Other,N/A,Highball Glass,N/A,Bacardi Limon,1 part ,Coca-Cola,2 parts ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour half of coke in a glass.,2: Then add Bacardi and top it off with the remaining coke.,,,,,,,,,,,,,,,,,,,,,
