Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Ingredient_14,Measurement_14,Ingredient_15,Measurement_15,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Rum Milk Punch,Rum,N/A,Collins glass,N/A,Light rum,2 oz ,Milk,1 cup ,Powdered sugar,1 tsp ,Nutmeg,,,,,,,,,,,,,,,,,,,,,,,,1: Shake all ingredients (except nutmeg) with ice and strain into a collins glass.,2: Sprinkle nutmeg on top and serve.,,,,,,,,,,,,,,,,,,,,,
Raspberry Julep,Bourbon,N/A,Cordial glass,N/A,Bourbon,2 oz,Raspberry syrup,1/2 oz,Mint,8,,,,,,,,,,,,,,,,,,,,,,,,,1: Softly muddle the mint leaves and raspberry syrup in the bottom of the cup.,2: Add crushed ice and Bourbon to the cup and then stir.,"3: Top with more ice, garnish with a mint sprig.",,,,,,,,,,,,,,,,,,,,
Rum Screwdriver,Rum,N/A,Highball glass,N/A,Light rum,1 1/2 oz ,Orange juice,5 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour rum into a highball glass over ice cubes.,"2: Add orange juice, stir, and serve.",,,,,,,,,,,,,,,,,,,,,
Raspberry Cooler,Vodka,N/A,Highball glass,N/A,Raspberry vodka,2 oz ,Lemon-lime soda,4 oz ,Ice,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes.,2: Stir well.,,,,,,,,,,,,,,,,,,,,,
Rum Old-fashioned,Rum,N/A,Old-fashioned glass,N/A,Light rum,1 1/2 oz ,151 proof rum,1 tsp ,Powdered sugar,1/2 tsp ,Bitters,1 dash ,Water,1 tsp ,Lime peel,Twist of ,,,,,,,,,,,,,,,,,,,"1: Stir powdered sugar, water, and bitters in an old-fashioned glass.",2: When sugar has dissolved add ice cubes and light rum.,"3: Add the twist of lime peel, float 151 proof rum on top, and serve.",,,,,,,,,,,,,,,,,,,,
Russian Spring Punch,Vodka,N/A,Highball glass,N/A,Vodka,2.5 cl,Creme de Cassis,1.5 cl,Sugar Syrup,1 cl,Lemon Juice,2.5 cl,,,,,,,,,,,,,,,,,,,,,,,"1: Pour the ingredients into an highball glass, top with Sparkling wine.",,,,,,,,,,,,,,,,,,,,,,
Radioactive Long Island Iced Tea,Rum,N/A,Collins Glass,N/A,Rum,1 oz ,Vodka,1 oz ,Tequila,1 oz ,Gin,1 oz ,Triple sec,1 oz ,Chambord raspberry liqueur,1 oz ,Midori melon liqueur,1 oz ,Malibu rum,1 oz ,,,,,,,,,,,,,,,1: Pour all ingredients over ice in a very tall glass.,2: Sip cautiously.,,,,,,,,,,,,,,,,,,,,,
Smut,Wine,N/A,Beer mug,N/A,Red wine,1/3 part ,Peach schnapps,1 shot ,Pepsi Cola,1/3 part ,Orange juice,1/3 part ,,,,,,,,,,,,,,,,,,,,,,,1: Throw it all together and serve real cold.,,,,,,,,,,,,,,,,,,,,,,
Spritz,Prosecco,N/A,Old-Fashioned glass,N/A,Prosecco,6 cl,Campari,4 cl,Soda Water,splash,,,,,,,,,,,,,,,,,,,,,,,,,"1: Build into glass over ice, garnish and serve.",,,,,,,,,,,,,,,,,,,,,,
Scooter,Brandy,N/A,Cocktail glass,N/A,Brandy,1 oz ,Amaretto,1 oz ,Light cream,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Sangria,Wine,N/A,Pitcher,N/A,Red wine,1 bottle ,Sugar,1/2 cup ,Orange juice,1 cup ,Lemon juice,1 cup ,Cloves,,Cinnamon,,,,,,,,,,,,,,,,,,,,1: Mix all together in a pitcher and refrigerate.,2: Add cloves and cinnamon sticks to taste.,3: Serve in wine glasses.,,,,,,,,,,,,,,,,,,,,
Stinger,Brandy,N/A,Cocktail glass,N/A,Brandy,1 1/2 oz ,White Creme de Menthe,1/2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Pour in a mixing glass with ice, stir and strain into a cocktail glass.",2: May also be served on rocks in a rocks glass.,,,,,,,,,,,,,,,,,,,,,
Sazerac,Bourbon,N/A,Old-fashioned glass,N/A,Ricard,1 tsp ,Sugar,1/2 tsp superfine ,Peychaud bitters,2 dashes ,Water,1 tsp ,Bourbon,2 oz ,Lemon peel,1 twist of ,,,,,,,,,,,,,,,,,,,"1: Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside.",2: Stir the remaining ingredients over ice and set it aside.,"3: Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass.",4: Add the lemon peel for garnish.,,,,,,,,,,,,,,,,,,,
Sidecar,Cognac,N/A,Cocktail glass,N/A,Cognac,2 oz ,Cointreau,1/2 oz ,Lemon juice,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour all ingredients into cocktail shaker filled with ice.,2: Shake well and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Snowday,Vodka,N/A,Collins glass,N/A,Vodka,1 oz,Amaro Montenegro,1 oz,Ruby Port,1 oz,Blood Orange,1 tsp,Angostura Bitters,Dash,Orange Peel,Garnish with,,,,,,,,,,,,,,,,,,,1: Stir all ingredients with ice.,2: Strain into a chilled rocks glass over fresh ice.,3: Express orange peel over drink and garnish.,,,,,,,,,,,,,,,,,,,,
Spice 75,Rum,N/A,Wine Glass,N/A,Sugar,60 ml,Allspice,1 tblsp,Rum,20 cl,Lime Juice,90 ml,Champagne,6 cl,Orange spiral,Garnish with,,,,,,,,,,,,,,,,,,,1: Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice.,"2: Cook gently until the sugar has dissolved, then leave the mixture to cool.",3: Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).,4: Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml lime juice.,5: Shake with ice and strain between six flute glasses.,6: Top up with 600ml champagne and garnish each with an orange twist.,,,,,,,,,,,,,,,,,
Snowball,Other,N/A,Highball glass,N/A,Advocaat,1 1/2 oz ,Lemonade,8-10 oz cold ,Lemon,1 slice ,Ice,cubes,,,,,,,,,,,,,,,,,,,,,,,1: Place one ice cube in the glass and add 1 1/2 oz of Advocaat.,2: Fill up the glass with lemonade and decorate with a slice of lemon.,3: Serve at once.,,,,,,,,,,,,,,,,,,,,
Shot-gun,Wild Turkey,N/A,Shot glass,N/A,Jim Beam,1 part ,Jack Daniels,1 part ,Wild Turkey,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,,,,,,,,,,,,,,,,,,,,,,
Salty Dog,Gin,N/A,Highball glass,N/A,Grapefruit juice,5 oz ,Gin,1 1/2 oz ,Salt,1/4 tsp ,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour all ingredients over ice cubes in a highball glass.,2: Stir well and serve.,"3: (Vodka may be substituted for gin, if preferred.",,,,,,,,,,,,,,,,,,,,
Stone Sour,Brandy,N/A,Whiskey sour glass,N/A,Apricot brandy,1 oz ,Orange juice,1 oz ,Sweet and sour,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Sea breeze,Vodka,N/A,Highball glass,N/A,Vodka,1 1/2 oz ,Cranberry juice,4 oz ,Grapefruit juice,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,1: Build all ingredients in a highball glass filled with ice.,2: Garnish with lime wedge.,,,,,,,,,,,,,,,,,,,,,
Scotch Sour,Scotch,N/A,Whiskey sour glass,N/A,Scotch,1 1/2 oz ,Lime,Juice of 1/2 ,Powdered sugar,1/2 tsp ,Lemon,1/2 slice ,Cherry,1 ,,,,,,,,,,,,,,,,,,,,,"1: Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass.","2: Decorate with 1/2 slice lemon, top with the cherry, and serve.",,,,,,,,,,,,,,,,,,,,,
Sweet Tooth,Liqueur,N/A,Highball Glass,N/A,Godiva liqueur,2 shots ,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like.",,,,,,,,,,,,,,,,,,,,,,
Screwdriver,Vodka,N/A,Highball glass,N/A,Vodka,2 oz ,Orange juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Mix in a highball glass with ice.,2: Garnish and serve.,,,,,,,,,,,,,,,,,,,,,
Sherry Flip,Other,N/A,Nick and Nora Glass,N/A,Sherry,1 1/2 oz cream ,Light cream,2 tsp ,Powdered sugar,1 tsp ,Egg,1 whole ,Nutmeg,,,,,,,,,,,,,,,,,,,,,,1: Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass.,2: Sprinkle nutmeg on top and serve.,,,,,,,,,,,,,,,,,,,,,
Sol Y Sombra,Brandy,N/A,Brandy snifter,N/A,Brandy,1 1/2 oz ,Anisette,1 1/2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake ingredients with ice, strain into a brandy snifter, and serve.","2: (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why.","3: Thanks, Kirby.",,,,,,,,,,,,,,,,,,,,
Shark Attack,Vodka,N/A,Pitcher,N/A,Lemonade,1 can ,Water,3 cans ,Vodka,1 1/2 cup ,,,,,,,,,,,,,,,,,,,,,,,,,1: Mix lemonade and water according to instructions on back of can.,2: If the instructions say to add 4 1/3 cans of water do so.,3: Mix into pitcher.,4: Add 1 1/2 cup of Vodka (Absolut).,5: Mix well.,6: Pour into glass of crushed ice.,,,,,,,,,,,,,,,,,
San Francisco,Vodka,N/A,Highball glass,N/A,Vodka,2 cl ,Creme de Banane,2 cl ,Grenadine,,Orange juice,,,,,,,,,,,,,,,,,,,,,,,,"1: Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom.",2: garnish with orange and strawberry.,,,,,,,,,,,,,,,,,,,,,
Space Odyssey,Rum,N/A,Highball glass,N/A,151 proof rum,1 shot Bacardi ,Malibu rum,1 shot ,Pineapple juice,1 shot ,Orange juice,,Grenadine,,Cherries,,,,,,,,,,,,,,,,,,,,1: Fill glass with ice and add shots of Bacardi and Malibu.,2: Add splash of pineapple juice and top with orange juice.,3: Add grenadine for color and garnish with cherries.,,,,,,,,,,,,,,,,,,,,
Sherry Eggnog,Other,N/A,Collins glass,N/A,Sherry,2 oz cream ,Powdered sugar,1 tsp ,Egg,1 whole ,Milk,,Nutmeg,,,,,,,,,,,,,,,,,,,,,,"1: Shake sherry, powdered sugar, and egg with ice and strain into a collins glass.",2: Fill with milk and stir.,3: Sprinkle nutmeg on top and serve.,,,,,,,,,,,,,,,,,,,,
Sweet Sangria,Wine,N/A,Pitcher,N/A,Red wine,2 bottles ,Sugar,1 cup ,Water,2 cups hot ,Apple,1 cup,Orange," wedges
",Lime," wedges
",Lemon,,Fresca,,,,,,,,,,,,,,,,1: Dissolve the sugar in hot water and cool.,2: Peel the citrus fruits and break into wedges.,"3: Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours.",4: Serve in tall glasses with a straw.,,,,,,,,,,,,,,,,,,,
Thriller,Scotch,N/A,Cocktail glass,N/A,Scotch,1 1/2 oz ,Wine,1 oz Green Ginger ,Orange juice,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine all of the ingredients.",2: Shake well.,3: Strain into a cocktail glass.,,,,,,,,,,,,,,,,,,,,
The Galah,Rum,N/A,Collins glass,N/A,Dark Rum,1 shot,Campari,1 shot,Creme De Banane,1/2 shot,Pineapple Juice,Top,Lime Juice,Top,,,,,,,,,,,,,,,,,,,,,1: Mix together the alcoholic portions and top with Pineapple and Lime juice.,,,,,,,,,,,,,,,,,,,,,,
Tia-Maria,Rum,N/A,Collins Glass,N/A,Water,1 cup ,Brown sugar,3/4-1 cup ,Coffee,4 tsp ,Rum,1 cup ,Vanilla extract,4 tsp ,,,,,,,,,,,,,,,,,,,,,"1: Boil water, sugar and coffe for 10 mins and let cool.",2: Add rum and vanilla.,3: Put in clean bottle(s) and leave for 1 week before using.,,,,,,,,,,,,,,,,,,,,
Tipperary,Whiskey,N/A,Nick and Nora Glass,N/A,Irish Whiskey,2 oz,Sweet Vermouth,1 oz,Green Chartreuse,1/2 oz,,,,,,,,,,,,,,,,,,,,,,,,,1: Stir over ice.,2: Strain into chilled glass.,"3: Cut a wide swath of orange peel, and express the orange oils over the drink.",4: Discard orange twist.,,,,,,,,,,,,,,,,,,,
Turkeyball,Wild Turkey,N/A,Shot glass,N/A,Wild Turkey,1 oz ,Amaretto,3/4 oz ,Pineapple juice,1 splash ,,,,,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into a shot glass.,,,,,,,,,,,,,,,,,,,,,,
Texas Sling,Rum,N/A,Wine Glass,N/A,Kahlua,1/2 oz ,Irish cream,1/2 oz ,Amaretto,1/2 oz ,151 proof rum,1/2 oz Bacardi ,Cream,1 oz ,,,,,,,,,,,,,,,,,,,,,1: Blend with Ice until smooth.,"2: Serve in a tulip glass, top with whip cream.",,,,,,,,,,,,,,,,,,,,,
Tom Collins,Gin,N/A,Collins glass,N/A,Gin,2 oz ,Lemon juice,1 oz ,Sugar,1 tsp superfine ,Club soda,3 oz ,Maraschino cherry,1 ,Orange,1 ,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar.",2: Shake well.,3: Strain into a collins glass alomst filled with ice cubes.,4: Add the club soda.,5: Stir and garnish with the cherry and the orange slice.,,,,,,,,,,,,,,,,,,
Talos Coffee,Other,N/A,Brandy snifter,N/A,Grand Marnier,3 parts ,Coffee,1 part ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Add your GM and then add your coffee.,,,,,,,,,,,,,,,,,,,,,,
Tennesee Mud,Jack Daniels,N/A,Coffee Mug,N/A,Coffee,8 oz ,Jack Daniels,4 oz ,Amaretto,4 oz ,Whipped cream,,,,,,,,,,,,,,,,,,,,,,,,"1: Mix Coffee, Jack Daniels and Amaretto.",2: Add Cream on top.,,,,,,,,,,,,,,,,,,,,,
Tequila Fizz,Tequila,N/A,Collins glass,N/A,Tequila,2 oz ,Lemon juice,1 tblsp ,Grenadine,3/4 oz ,Egg white,1 ,Ginger ale,,,,,,,,,,,,,,,,,,,,,,1: Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes.,"2: Fill with ginger ale, stir, and serve.",,,,,,,,,,,,,,,,,,,,,
Tequila Sour,Tequila,N/A,Whiskey sour glass,N/A,Tequila,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Lemon,1/2 slice ,Cherry,1 ,,,,,,,,,,,,,,,,,,,,,"1: Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass.","2: Add the half-slice of lemon, top with the cherry, and serve.",,,,,,,,,,,,,,,,,,,,,
The Last Word,Liqueur,N/A,Cocktail glass,N/A,Green Chartreuse,1 oz,Maraschino Liqueur,1 oz,Lime Juice,1 oz,,,,,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into a cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Turf Cocktail,Vermouth,N/A,Cocktail glass,N/A,Dry Vermouth,1 oz ,Gin,1 oz ,Anis,1/4 tsp ,Bitters,2 dashes ,Orange peel,Twist of ,,,,,,,,,,,,,,,,,,,,,1: Stir all ingredients (except orange peel) with ice and strain into a cocktail glass.,2: Add the twist of orange peel and serve.,,,,,,,,,,,,,,,,,,,,,
The Laverstoke,Gin,N/A,Balloon Glass,N/A,Gin,50 ml,Elderflower cordial,15 ml,Rosso Vermouth,15 ml,Tonic Water,75 ml,Lime,2 Wedges,Ginger,1 Slice,Mint,1 Large Sprig,,,,,,,,,,,,,,,,,"1: 1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.",2: 2) Fully fill the glass with cubed ice and stir to chill.,3: 3) Top with Fever-Tree Ginger Ale and gently stir again to combine.,4: 4) Garnish with a snapped ginger slice and an awoken mint sprig.,,,,,,,,,,,,,,,,,,,
Tequila Slammer,Tequila,N/A,Hurricane glass,N/A,Tequila,1 shot,7-up,1 part,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Mix carefully to avoid releasing the dissolved CO2.,,,,,,,,,,,,,,,,,,,,,,
Tequila Sunrise,Tequila,N/A,Highball glass,N/A,Tequila,2 measures ,Orange juice,,Grenadine,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour the tequila and orange juice into glass over ice.,"2: Add the grenadine, which will sink to the bottom.",3: Stir gently to create the sunrise effect.,4: Garnish and serve.,,,,,,,,,,,,,,,,,,,
The Philosopher,Gin,N/A,Margarita glass,N/A,Gin,1 shot,Melon Liqueur,1 shot,Orange Bitters,1 dash,Lemon Juice,1 dash,Prosecco,Top,,,,,,,,,,,,,,,,,,,,,1: Add all the spirits in a shaker (best to use Hendricks gin) as well as the orange bitters and lemon juice.,"2: Strain into a Margarita glass, top with Prosecco.",,,,,,,,,,,,,,,,,,,,,
Tuxedo Cocktail,Vermouth,N/A,Cocktail glass,N/A,Dry Vermouth,1 1/2 oz ,Gin,1 1/2 oz ,Maraschino liqueur,1/4 tsp ,Anis,1/4 tsp ,Orange bitters,2 dashes ,Cherry,1 ,,,,,,,,,,,,,,,,,,,1: Stir all ingredients with ice and strain into a cocktail glass.,2: Garnish with a cherry and a twist of lemon zest.,,,,,,,,,,,,,,,,,,,,,
Tequila Surprise,Tequila,N/A,Shot glass,N/A,Tequila,full glass ,Tabasco sauce,About 8 drops ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Fill shot glass with Tequila.,2: Add drops of Tobasco sauce.,,,,,,,,,,,,,,,,,,,,,
The Jimmy Conway,Whiskey,N/A,Whiskey sour glass,N/A,Irish Whiskey,50 ml,Amaretto,50 ml,Cranberry Juice,4 oz,,,,,,,,,,,,,,,,,,,,,,,,,"1: Fill glass with ice
Pour in The Irishman and Disaronno
Fill to the top with Cranberry Juice
Garnish with a slice of lemon…Enjoy!.",,,,,,,,,,,,,,,,,,,,,,
Texas Rattlesnake,Brandy,N/A,Highball glass,N/A,Yukon Jack,1 part ,Cherry brandy,1/2 part ,Southern Comfort,1 part ,Sweet and sour,1 splash ,,,,,,,,,,,,,,,,,,,,,,,1: Mix all ingredients and Shake well.,"2: Sweet at first, with a BITE at the end.",3: .,4: .,,,,,,,,,,,,,,,,,,,
Vesper,Gin,N/A,Cocktail glass,N/A,Gin,6 cl,Vodka,1.5 cl,Lillet Blanc,0.75 cl,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",,,,,,,,,,,,,,,,,,,,,,
Victor,Gin,N/A,Cocktail glass,N/A,Gin,1 1/2 oz ,Sweet Vermouth,1/2 oz ,Brandy,1/2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Vampiro,Tequila,N/A,Old-Fashioned glass,N/A,Tequila,6 cl,Tomato Juice,3 cl,Orange Juice,3 cl,Lime Juice,1.5 cl,Sugar Syrup,1 dash,Salt,1 pinch,,,,,,,,,,,,,,,,,,,1: Vampiros may be made in a tall glass or an old fashioned glass.,"2: Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim.",3: The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila.,4: The next stage is to add the flavouring elements.,"5: This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo).",6: The final step is to stir the ingredients so that the flavours are properly blended.,,,,,,,,,,,,,,,,,
Vesuvio,Rum,N/A,Old-fashioned glass,N/A,Light rum,1 oz ,Sweet Vermouth,1/2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg white,1 ,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",,,,,,,,,,,,,,,,,,,,,,
Veteran,Rum,N/A,Old-fashioned glass,N/A,Dark rum,2 oz ,Cherry brandy,1/2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes.,2: Stir well.,,,,,,,,,,,,,,,,,,,,,
Van Vleet,Rum,N/A,Old-fashioned glass,N/A,Light rum,3 oz ,Maple syrup,1 oz ,Lemon juice,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",,,,,,,,,,,,,,,,,,,,,,
Vodka Fizz,Vodka,N/A,White wine glass,N/A,Vodka,2 oz ,Half-and-half,2 oz ,Limeade,2 oz ,Ice,,Nutmeg,,,,,,,,,,,,,,,,,,,,,,"1: Blend all ingredients, save nutmeg.",2: Pour into large white wine glass and sprinkle nutmeg on top.,,,,,,,,,,,,,,,,,,,,,
Vodka Lemon,Vodka,N/A,Highball glass,N/A,Vodka,5 cl,Lemon Juice,7 cl,Lemon Peel,1 Slice,Ice,cubes,,,,,,,,,,,,,,,,,,,,,,,"1: The vodka lemon is prepared directly in a highball glass or in a large tumbler: put 6-7 ice cubes in the glass, pour the vodka, lemonade and mix with a bar spoon.","2: Finally decorate with a slice of lemon and, if you prefer, add a few mint leaves.",3: Your vodka lemon is ready to be served.,,,,,,,,,,,,,,,,,,,,
Vodka Slime,Vodka,N/A,Highball glass,N/A,Sprite,1 cup,Lime Juice,1/2 shot,Vodka,1 1/2 shot,,,,,,,,,,,,,,,,,,,,,,,,,1: Fill glass with ice.,"2: Add vodka, 7-up then finish with the lime juice.",,,,,,,,,,,,,,,,,,,,,
Vodka Tonic,Vodka,N/A,Highball glass,N/A,Vodka,4 cl,Tonic Water,10 cl,Lemon Peel,1 Slice,,,,,,,,,,,,,,,,,,,,,,,,,1: Wash and cut 1 wedge and 1 slice of lime or lemon.,2: Fill a tumbler with fresh ice.,3: Pour the desired dose of vodka and top up with the tonic.,4: Squeeze the lime wedge into the glass and decorate with the slice.,,,,,,,,,,,,,,,,,,,
Vodka Martini,Vodka,N/A,Cocktail glass,N/A,Vodka,1 1/2 oz ,Dry Vermouth,3/4 oz ,Olive,1 ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",,,,,,,,,,,,,,,,,,,,,,
Vodka Russian,Vodka,N/A,Collins Glass,N/A,Vodka,2 oz ,Schweppes Russchian,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Mix it as a ordinary drink.,,,,,,,,,,,,,,,,,,,,,,
Vermouth Cassis,Vermouth,N/A,Highball glass,N/A,Dry Vermouth,1 1/2 oz ,Creme de Cassis,3/4 oz ,Carbonated water,,,,,,,,,,,,,,,,,,,,,,,,,,1: Stir vermouth and creme de cassis in a highball glass with ice cubes.,"2: Fill with carbonated water, stir again, and serve.",,,,,,,,,,,,,,,,,,,,,
Victory Collins,Vodka,N/A,Collins glass,N/A,Vodka,1 1/2 oz ,Lemon juice,3 oz ,Grape juice,3 oz unsweetened ,Powdered sugar,1 tsp ,Orange,1 slice ,,,,,,,,,,,,,,,,,,,,,1: Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes.,2: Add the slice of orange and serve.,,,,,,,,,,,,,,,,,,,,,
Vodka And Tonic,Vodka,N/A,Highball glass,N/A,Vodka,2 oz ,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour vodka into a highball glass over ice cubes.,"2: Fill with tonic water, stir, and serve.",,,,,,,,,,,,,,,,,,,,,
Valencia Cocktail,Brandy,N/A,Cocktail glass,N/A,Apricot brandy,1 1/2 oz ,Orange juice,1 tblsp ,Orange bitters,2 dashes ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Whisky Mac,Scotch,N/A,Collins Glass,N/A,Scotch,1 1/2 oz ,Wine,1 oz Green Ginger ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour both of the ingredients into a wine goblet with no ice.,,,,,,,,,,,,,,,,,,,,,,
White Lady,Gin,N/A,Cocktail glass,N/A,Gin,4cl,Triple Sec,3cl,Lemon Juice,2cl,,,,,,,,,,,,,,,,,,,,,,,,,1: Add all ingredients into cocktail shaker filled with ice.,2: Shake well and strain into large cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Wine Punch,Wine,N/A,Collins Glass,N/A,Red wine,1 bottle ,Lemon,2 ,Orange juice,1 cup ,Orange,3 ,Pineapple juice,1 cup ,,,,,,,,,,,,,,,,,,,,,1: Combine all of the ingredients and pour over a block of ice.,,,,,,,,,,,,,,,,,,,,,,
Winter Rita,Tequila,N/A,Highball Glass,N/A,Tequila,1 2/3 oz,Campari,1/4 oz,Lime Juice,3/4 oz,Orange Juice,1/2 oz,Rosemary Syrup,1/2 oz,Salt,Dash,,,,,,,,,,,,,,,,,,,1: Salt rim.,"2: Combine all ingredients, shake with ice, and strain over fresh ice.",,,,,,,,,,,,,,,,,,,,,
Whiskey Sour,Whiskey,N/A,Old-fashioned glass,N/A,Blended whiskey,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1/2 tsp ,Cherry,1 ,Lemon,1/2 slice ,,,,,,,,,,,,,,,,,,,,,1: Shake with ice.,"2: Strain into chilled glass, garnish and serve.","3: If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",,,,,,,,,,,,,,,,,,,,
White Russian,Vodka,N/A,Old-fashioned glass,N/A,Vodka,2 oz ,Coffee liqueur,1 oz ,Light cream,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass.,2: Fill with light cream and serve.,,,,,,,,,,,,,,,,,,,,,
Winter Paloma,Tequila,N/A,Highball glass,N/A,Tequila,2 shots,Grapefruit Juice,Top,Lime Juice,Juice of 1,Agave Syrup,1 tsp,Pepper,Dash,,,,,,,,,,,,,,,,,,,,,1: Everyone’s favourite Paloma gets a delicious Indian makeover.,2: Tequila reposado infused with “Timur Pepper” which has citrusy & grapefruit notes and is grown at the foothills of Himalaya.,3: It also produces a slightly numbing and tingling sensation on your lip when consumed.,4: We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya.,5: The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.,,,,,,,,,,,,,,,,,,
